wiki_id,call_correct,oof_posterior,entropy_similarity,sim_gap,spectrum_label
aEKJ9AS/100,1,0.8224323482259104,0.72414231300354,0.3709673881530762,TP
aEKJ9AS/10003,1,0.0372668903367894,0.7769782543182373,0.2501465082168579,TP
aEKJ9AS/10009,0,0.22473956019725436,0.935681402683258,0.0583589673042296,FP
aEKJ9AS/10014,0,0.02156307999594068,0.7241827845573425,0.1070245504379272,FP
aEKJ9AS/10017,1,0.255540246319703,0.9403461813926696,0.1595079898834227,TP
aEKJ9AS/10020,0,0.00897654760682862,0.6674401760101318,0.0891371965408325,FP
aEKJ9AS/10021,0,0.0280322334181303,0.9206756353378296,0.0414089560508728,FP
aEKJ9AS/10034,1,0.12814777929282856,0.8539711833000183,0.0404510498046875,TP
aEKJ9AS/10036,1,0.0014090048661435468,0.959845781326294,0.1678863167762756,TP
aEKJ9AS/10037,0,0.000778366541847319,0.9035257697105408,0.0031003355979919,FP
aEKJ9AS/10039,1,0.026734523660676593,0.7400855422019958,0.1045270562171936,TP
aEKJ9AS/10040,0,0.9127657027290825,0.8478537201881409,0.277334451675415,TP
aEKJ9AS/10042,0,0.9841968608741913,0.8687509894371033,0.7169421315193176,FP
aEKJ9AS/10047,1,0.05604049120791256,0.779040515422821,0.0521972179412841,TP
aEKJ9AS/10051,1,0.4505038369227507,0.9309277534484864,0.4049708247184754,TP
aEKJ9AS/10052,1,0.3845210238108146,0.8393872380256653,0.1577609777450561,TP
aEKJ9AS/10054,0,0.6879401354744095,0.7494328618049622,0.2640949785709381,FP
aEKJ9AS/10059,1,0.144641313931905,0.7604655623435974,0.0938805341720581,TP
aEKJ9AS/1006,0,3.329717789238047e-05,0.999985694885254,0.0002134442329407,FP
aEKJ9AS/10065,1,0.5898772949734705,0.7521210312843323,0.0243933796882629,TP
aEKJ9AS/10078,0,0.00013522681512422805,0.8655190467834473,0.1323305368423462,FP
aEKJ9AS/10079,1,0.3119237160179419,0.8319904208183289,0.2668238878250122,TP
aEKJ9AS/10081,0,6.007885953205418e-05,0.7603277564048767,0.0,FP
aEKJ9AS/10087,0,0.06705750208829615,0.5392517447471619,0.2408740818500518,FP
aEKJ9AS/10088,0,0.006388314952549498,0.716144323348999,0.0023993253707885,FP
aEKJ9AS/10089,1,0.4234191209249387,0.9711990356445312,0.1204131841659545,TP
aEKJ9AS/10090,1,0.007156382187095038,0.8888745307922363,0.0191705226898193,TP
aEKJ9AS/10091,1,0.8194945736046028,0.9364137053489684,0.4752529263496398,TP
aEKJ9AS/10092,0,0.0021568329595582397,0.7242312431335449,0.0187689661979675,TP
aEKJ9AS/10095,1,0.2326302571151737,0.9341077208518982,0.043548047542572,TP
aEKJ9AS/10096,0,0.8660823772743274,0.9288706183433532,0.0272305011749267,FP
aEKJ9AS/10099,0,5.070292526615846e-05,0.3732715845108032,0.274207279086113,FP
aEKJ9AS/1010,1,0.005832081719752728,0.6410271525382996,0.0122408270835876,TP
aEKJ9AS/10103,1,0.006913046955810509,0.927761733531952,0.0152782797813416,TP
aEKJ9AS/10106,1,0.08449457957313442,0.6302194595336914,0.0339308381080627,TP
aEKJ9AS/10107,1,0.18890552601009192,0.92914617061615,0.0568416714668275,TP
aEKJ9AS/10109,0,0.001603728698109976,0.984442174434662,0.0185138583183289,TP
aEKJ9AS/10110,1,0.508084426928908,0.937440037727356,0.5387936532497406,TP
aEKJ9AS/10112,0,9.836222089426503e-07,0.367966741323471,0.0927670896053314,FP
aEKJ9AS/10114,1,0.29653588986189133,0.8086017370223999,0.0963484644889831,TP
aEKJ9AS/10115,0,0.15095126864817063,0.7088959813117981,0.0364035367965698,FP
aEKJ9AS/10116,1,0.17094672729115046,0.9333367347717284,0.3171405196189879,TP
aEKJ9AS/10117,1,0.008832134595908028,0.7374172210693359,0.1331549286842346,TP
aEKJ9AS/10118,0,2.5769817639320416e-05,0.9837389588356018,0.018439769744873,FP
aEKJ9AS/10120,1,0.1657331988534703,0.5575299263000488,0.0348236560821533,TP
aEKJ9AS/10121,1,0.967190452829839,0.9550854563713074,0.7678271085023881,TP
aEKJ9AS/10123,1,0.046814789152630217,0.9887990951538086,0.0509050488471986,TP
aEKJ9AS/10128,0,9.871869784517704e-05,0.8289742469787598,0.0019508004188537,FP
aEKJ9AS/10133,1,0.47713284335432027,0.7434310913085938,0.1232717633247375,TP
aEKJ9AS/10134,0,8.779347103086726e-05,0.8089333176612854,0.1085922718048095,FP
aEKJ9AS/10136,1,0.19906977826524422,0.944746732711792,0.1259690523147583,TP
aEKJ9AS/1014,1,0.0015744884459676562,0.8439589142799377,0.0210742950439453,TP
aEKJ9AS/10141,0,0.011763943774379528,0.6786675453186035,0.0399969816207885,TP
aEKJ9AS/10145,1,0.5843223756586959,0.8888461589813232,0.4796624183654785,TP
aEKJ9AS/10148,1,0.0057983956545701425,0.924635887145996,0.4827734231948852,TP
aEKJ9AS/10154,0,0.8556662352673617,0.7363943457603455,0.1367147564888,FP
aEKJ9AS/10157,1,0.5705872172324002,0.9071117639541626,0.0639836192131042,TP
aEKJ9AS/10162,0,0.1037874835102015,0.7164925336837769,0.0158028602600097,FP
aEKJ9AS/1017,1,0.49737344816618045,0.8815512657165527,0.1230036616325378,TP
aEKJ9AS/10171,1,0.06327419413168038,0.9543430209159852,0.0365405678749084,TP
aEKJ9AS/10178,0,0.716867723279239,0.7267165184020996,0.0072740316390991,TP
aEKJ9AS/10182,0,0.007071164568021711,0.9985668659210204,0.0235053896903991,FP
aEKJ9AS/10192,1,0.13284342497101337,0.6370510458946228,0.0957820415496826,TP
aEKJ9AS/10193,0,0.13968292401998467,0.8892275094985962,0.1477755308151245,TP
aEKJ9AS/10194,1,0.011743834437597385,0.7936948537826538,0.5746964365243912,TP
aEKJ9AS/10195,0,0.059207892051203914,0.9134940505027772,0.0111067891120911,TP
aEKJ9AS/10200,1,0.9215695679441894,0.8966564536094666,0.8544110022485256,TP
aEKJ9AS/10209,1,0.28397673909953375,0.912752628326416,0.0250024199485778,TP
aEKJ9AS/10211,1,0.0075196007742049775,0.8253148794174194,0.0018296241760253,TP
aEKJ9AS/10213,1,0.013535239320173491,0.8052103519439697,0.3652606606483459,TP
aEKJ9AS/10219,1,0.7176844336035716,0.922986388206482,0.4817707836627961,TP
aEKJ9AS/10220,1,0.1466783246700941,0.8095438480377197,0.2003620266914367,TP
aEKJ9AS/10225,0,0.7414633331056395,0.8293519020080566,0.0194567441940307,TP
aEKJ9AS/10230,0,0.002805367405638464,0.3585751950740814,0.1840413361787796,FP
aEKJ9AS/10235,0,0.7020343011533096,0.6691200733184814,0.0685688853263855,TP
aEKJ9AS/10238,1,0.0004320480929212689,0.9282168745994568,0.5311420261859894,TP
aEKJ9AS/10240,1,0.46453708940771293,0.8772629499435425,0.1118040084838867,TP
aEKJ9AS/10250,1,0.9575748958419007,0.9560372233390808,0.8669009655714035,TP
aEKJ9AS/10253,0,0.09574338806329455,0.7527137994766235,0.5083713084459305,FP
aEKJ9AS/10257,1,0.5396459205247429,0.8788485527038574,0.0072426199913024,TP
aEKJ9AS/10261,0,0.7888227975733708,0.6755968332290649,0.2854406237602234,TP
aEKJ9AS/10263,1,0.3793311897149986,0.9488828778266908,0.3434855341911317,TP
aEKJ9AS/10264,0,0.00014746314998288328,0.6671801805496216,0.1818360686302185,FP
aEKJ9AS/10265,1,0.9967298615529386,0.8696474432945251,0.2004050016403198,TP
aEKJ9AS/10272,0,0.7873998471811483,0.6059553027153015,0.0,TP
aEKJ9AS/10273,0,0.000158944737714447,0.8187568783760071,0.0290397405624389,FP
aEKJ9AS/10275,1,0.16168549941872767,0.8511239886283875,0.0022612214088439,TP
aEKJ9AS/10276,1,0.31226932127699497,0.9416452646255492,0.3738771080970763,TP
aEKJ9AS/10277,1,0.5512966541342932,0.9332884550094604,0.3258428573608398,TP
aEKJ9AS/10278,1,0.12567622749161322,0.564690113067627,0.1083315908908844,TP
aEKJ9AS/10279,1,0.1605927395508728,0.5632616281509399,0.1142193078994751,TP
aEKJ9AS/10280,1,0.27574607535058077,0.8995539546012878,0.1491296291351318,TP
aEKJ9AS/10281,1,0.10468237921401582,0.564800500869751,0.1126357614994049,TP
aEKJ9AS/10282,1,0.10603890055018429,0.9230523705482484,0.3452308773994447,TP
aEKJ9AS/10283,1,0.9367940250950805,0.9700796008110046,0.7910168170928955,TP
aEKJ9AS/10284,0,0.7223785307423606,0.6328821778297424,0.1533152163028717,TP
aEKJ9AS/10285,1,0.5418519298172277,0.9404953718185424,0.174407660961151,TP
aEKJ9AS/10286,0,0.7464795209361905,0.6562451124191284,0.083730399608612,TP
aEKJ9AS/10287,1,0.5541835691640096,0.9461347460746764,0.1863670349121092,TP
aEKJ9AS/10288,1,0.3338639137536043,0.9251506328582764,0.1871890425682068,TP
aEKJ9AS/10289,1,0.34431817662079545,0.7606104612350464,0.0191301107406616,TP
aEKJ9AS/10290,1,0.05574243449464033,0.9120599031448364,0.0935965776443481,TP
aEKJ9AS/10292,0,0.765707883867575,0.9472332000732422,0.0043989419937133,TP
aEKJ9AS/10294,0,3.0720136906369505e-05,0.9516587853431702,0.0063456892967224,TP
aEKJ9AS/10295,0,0.10400753718840024,0.6744066476821899,0.6267314925789833,FP
aEKJ9AS/10296,1,0.42922696036183305,0.9589652419090272,0.433373510837555,TP
aEKJ9AS/10298,0,0.07897231011022472,0.8167095184326172,0.10103440284729,FP
aEKJ9AS/10300,0,0.12856209805403343,0.6458539366722107,0.0688488483428955,FP
aEKJ9AS/10301,0,0.00023534650651768933,0.9510096907615662,0.0013917684555053,TP
aEKJ9AS/10302,1,0.5486524309320133,0.9541271328926086,0.000567376613617,TP
aEKJ9AS/10303,1,0.5171380978682754,0.9417542219161988,0.1832811832427979,TP
aEKJ9AS/10304,0,0.09726642090435836,0.9153366684913636,0.0121365189552308,FP
aEKJ9AS/10305,1,0.1615692696608877,0.727594256401062,0.2867011427879334,TP
aEKJ9AS/10306,1,0.09719053152212981,0.878284752368927,0.0142686963081359,TP
aEKJ9AS/10307,1,0.0013782175130687886,0.9648615121841432,0.044452488422394,TP
aEKJ9AS/10308,0,0.00013526183487229745,0.9969998598098756,0.0006259083747863,TP
aEKJ9AS/10309,1,0.3460003219469931,0.9844510555267334,0.507528692483902,TP
aEKJ9AS/10310,1,0.0010229810395454087,0.963540494441986,0.0434109568595884,TP
aEKJ9AS/10311,0,0.00014785194471728254,0.9896989464759828,0.0006545782089235,TP
aEKJ9AS/10312,1,0.2674420786162417,0.9899278283119202,0.5092855095863342,TP
aEKJ9AS/10313,1,0.80788730659149,0.921783208847046,0.6871076226234437,TP
aEKJ9AS/10315,1,0.186616659188381,0.8504283428192139,0.0099425315856933,TP
aEKJ9AS/10316,1,0.051120157640186174,0.7421646118164062,0.0318583846092224,TP
aEKJ9AS/10317,0,0.04638876421907576,0.7347874045372009,0.0197998881340026,FP
aEKJ9AS/10318,1,0.04395330126090806,0.7432686686515808,0.0340259671211242,TP
aEKJ9AS/1032,1,0.4077738556246937,0.8622276782989502,0.1871178746223449,TP
aEKJ9AS/10323,1,0.14676304164420226,0.9481531381607056,0.1342304348945617,TP
aEKJ9AS/10324,1,0.42798186505131425,0.7580587267875671,0.0156941413879394,TP
aEKJ9AS/10325,1,0.0025579165199087843,0.913844883441925,0.2658738493919372,TP
aEKJ9AS/10326,1,0.5100045766191099,0.914441168308258,0.1278067231178282,TP
aEKJ9AS/10327,1,0.2783976294883427,0.8600949048995972,0.1229429841041565,TP
aEKJ9AS/10328,1,0.31128304702052173,0.8206570744514465,0.0293042659759521,TP
aEKJ9AS/10329,1,0.5169003537331149,0.9172221422195436,0.1454660296440125,TP
aEKJ9AS/1033,1,0.0012148135175209414,0.955498993396759,0.0226737260818482,TP
aEKJ9AS/10330,1,0.299906412458586,0.8592268824577332,0.1359535455703735,TP
aEKJ9AS/10334,1,0.9242266713402244,0.7695582509040833,0.7695582509040833,TP
aEKJ9AS/10335,1,0.45874669026365356,0.8048656582832336,0.1138821840286254,TP
aEKJ9AS/10336,1,0.4779622646201249,0.884461522102356,0.3057133555412292,TP
aEKJ9AS/10337,1,0.5074891336293983,0.8739541172981262,0.2777581810951233,TP
aEKJ9AS/1034,0,0.00028694449521228554,0.8305692076683044,0.006554365158081,FP
aEKJ9AS/10340,1,0.38614795940832125,0.9104456901550292,0.5440082252025604,TP
aEKJ9AS/10342,0,0.20501421283034266,0.7175564169883728,0.0387164950370788,TP
aEKJ9AS/10347,1,0.7192675682621361,0.7805016040802002,0.533953532576561,TP
aEKJ9AS/10348,1,0.03991644124332006,0.9475172758102416,0.2907753586769103,TP
aEKJ9AS/10349,1,0.46923915481441836,0.8508437871932983,0.0419124364852905,TP
aEKJ9AS/10351,1,0.2599650779935919,0.8628456592559814,0.0170710682868957,TP
aEKJ9AS/10352,1,0.7956023231760317,0.959040105342865,0.6976221799850464,TP
aEKJ9AS/10353,1,0.21963883865948508,0.8815556764602661,0.0084039568901062,TP
aEKJ9AS/10355,0,0.26453880493333,0.760805070400238,0.0510433316230773,TP
aEKJ9AS/10356,1,0.5554375873008478,0.8824822306632996,0.0981106162071228,TP
aEKJ9AS/10357,1,0.12784770449522925,0.8207443952560425,0.0993017554283142,TP
aEKJ9AS/1036,1,0.6670778244641818,0.9502804279327391,0.803026795387268,TP
aEKJ9AS/10366,1,0.995115875730783,0.953016996383667,0.953016996383667,TP
