wiki_id,name,adduct,confidence,entropy_sim,sim_gap,signed_delta_rt,spectral_entropy,reason
aEKJ9AS/13322,trihydroxycholestanoic acid,[M+NH4]+,0.156,0.731,0.017,25.7,3.74,RT off (+26s); near-tie (gap=0.017)
aPUDE1U/1716,4-methoxymelilotic acid,[M-H-H2O]-,0.157,0.708,0.009,26.4,2.5,RT off (+26s); near-tie (gap=0.009)
aPUDE1U/1713,sterol sulfate 29:2;O;S,[M-H]-,0.157,0.5,0.5,18.9,2.41,RT off (+19s); weak spectral match (0.50)
aPUDE1U/2502,Glutaric acid,[M-H-H2O]-,0.159,1.0,0.0,-32.4,0.0,RT off (-32s); near-tie (gap=0.000); very few peaks (entropy=0.00)
aPUDE1U/2564,N-acetyl-beta-alanine,[M-H]-,0.16,0.999,0.086,-31.4,0.73,RT off (-31s)
aEKJ9AS/4626,pipecolic acid,[M+H]+,0.16,0.884,0.027,-29.9,0.35,RT off (-30s); near-tie (gap=0.027); very few peaks (entropy=0.35)
aPUDE1U/2899,3-phosphoglyceric acid,[2M-H]-,0.16,0.783,0.028,-27.1,0.89,RT off (-27s); near-tie (gap=0.028)
aEKJ9AS/9435,4-aminobutyl-phosphonic acid,[M+H]+,0.161,0.643,0.119,25.8,1.33,RT off (+26s)
aPUDE1U/1210,DHA,[M-H]-,0.161,0.538,0.041,12.6,2.14,weak spectral match (0.54)
aPUDE1U/1175,N(6)-carboxymethyl-lysine,[M-H]-,0.163,0.565,0.011,-15.4,1.23,RT off (-15s); near-tie (gap=0.011); weak spectral match (0.56)
aPUDE1U/489,indole-3-acetate-2-sulfonate,[M-H]-,0.163,0.694,0.174,-26.8,1.46,RT off (-27s)
aEKJ9AS/888,isoquinolinediol b,[M+H]+,0.164,0.829,0.025,-28.8,1.89,RT off (-29s); near-tie (gap=0.025)
aPUDE1U/106,2-hydroxy-5-nitrobenzaldehyde,[M-H]-,0.166,0.802,0.002,29.3,1.15,RT off (+29s); near-tie (gap=0.002)
aPUDE1U/2264,N-acetyl-galactosamine,[M+Cl]-,0.167,0.682,0.364,-31.0,2.24,RT off (-31s)
aPUDE1U/975,actinoquinol,[M-H-C2H5]-,0.167,0.581,0.258,-21.6,2.0,RT off (-22s); weak spectral match (0.58)
aPUDE1U/963,octyl sulfate,[M-H]-,0.169,0.674,0.066,25.7,1.07,RT off (+26s)
aPUDE1U/2070,2-mercaptobenzothiazole,[M-H]-,0.17,1.0,0.0,31.2,0.95,RT off (+31s); near-tie (gap=0.000)
aPUDE1U/1370,N-benzoyl-glutamic acid,[M-H]-,0.17,0.936,0.405,-51.7,2.07,RT off (-52s)
aPUDE1U/451,vitamin C_b,[2M-H]-,0.171,0.8,0.161,-27.9,2.54,RT off (-28s)
aEKJ9AS/4498,"5-hepta-1,3-dienyl-cyclohexane-1,2,3-triol",[M+H-2H2O]+,0.173,0.867,0.016,30.5,3.25,RT off (+30s); near-tie (gap=0.016)
aPUDE1U/1228,3-hydroxybenzoic acid sulfate,[M-H]-,0.173,0.993,0.086,-29.9,0.82,RT off (-30s)
aPUDE1U/2207,HEPES buffer,[M-H]-,0.173,0.786,0.425,-43.4,1.48,RT off (-43s)
aEKJ9AS/9936,6-methylnicotine,[M+H-C3H7N]+,0.175,0.925,0.007,-30.6,2.87,RT off (-31s); near-tie (gap=0.007)
aEKJ9AS/2653,MOPS,[M+H]+,0.175,0.892,0.046,-29.9,1.88,RT off (-30s)
aPUDE1U/91,LPE 20:4,[M-H]-,0.177,0.503,0.053,-5.4,1.82,weak spectral match (0.50)
aEKJ9AS/7145,1-methyladenosine,[M+H-C5H8O4]+,0.18,0.977,0.152,-32.2,2.54,RT off (-32s)
aEKJ9AS/521,ethyl-2-aminocyclopentane-1-carboxylate,[M+H-C2H6O]+,0.18,0.865,0.006,-28.2,2.05,RT off (-28s); near-tie (gap=0.006)
aEKJ9AS/11849,PE P-18:0_20:4,[M+H]+,0.181,0.601,0.133,18.4,3.0,RT off (+18s)
aPUDE1U/2054,citric acid,[M-H]-,0.182,0.999,0.041,-29.6,1.36,RT off (-30s)
aPUDE1U/1820,sinapinic acid,M-H,0.184,0.943,0.091,-30.3,2.41,RT off (-30s)
aEKJ9AS/12151,DMGV isomer,[M+H]+,0.185,0.918,0.089,-30.4,1.49,RT off (-30s)
aPUDE1U/1319,p-coumaric acid ethyl ester,[M-H]-,0.186,0.512,0.06,4.0,1.02,weak spectral match (0.51)
aPUDE1U/331,NP-022519,[M-H-C32H50O10]-,0.187,0.715,0.413,-35.9,2.72,RT off (-36s)
aEKJ9AS/12231,p-hydroxybenzoylecgonine,[M+H]+,0.187,0.945,0.079,-29.8,2.26,RT off (-30s)
aPUDE1U/545,quinic acid,[2M-H]-,0.187,0.675,0.1,-20.8,1.29,RT off (-21s)
aPUDE1U/1704,glucose-6-phosphate,M-H,0.188,0.526,0.004,11.1,1.94,near-tie (gap=0.004); weak spectral match (0.53)
aEKJ9AS/4775,N-acetylglutamine,[M+H]+,0.188,0.751,0.436,-42.0,2.03,RT off (-42s)
aEKJ9AS/3875,taurocholenic acid,[M+Na]+,0.189,0.78,0.139,-26.2,1.87,RT off (-26s)
aEKJ9AS/2937,tetramethyl-piperazine,[M+H]+,0.189,0.732,0.068,-24.1,1.3,RT off (-24s)
aEKJ9AS/12621,Met-Ala,[M+H]+,0.19,0.769,0.206,29.6,2.08,RT off (+30s)
aPUDE1U/1837,N-gamma-acetyl-N-2-formyl-5-methoxy-kynurenamine,[M-H-C2H5NO]-,0.191,0.807,0.162,29.7,2.61,RT off (+30s)
aEKJ9AS/4500,tetrahydroquinolin-5-amine,[M+H-NH3]+,0.191,0.9,0.019,-28.1,1.03,RT off (-28s); near-tie (gap=0.019)
aEKJ9AS/5864,5'-methylthioadenosine sulfoxide,[M+H]+,0.191,0.836,0.135,-27.8,1.65,RT off (-28s)
aPUDE1U/1398,dihydrophaseic acid,[M-H]-,0.192,0.787,0.313,37.5,3.68,RT off (+38s)
aPUDE1U/423,N-acetyl-methionine,[M-H]-,0.192,0.801,0.007,27.9,2.4,RT off (+28s); near-tie (gap=0.007)
aEKJ9AS/12547,glycine,[M+H]+,0.192,0.773,0.265,-28.3,0.76,RT off (-28s)
aEKJ9AS/392,glycolithocholic acid,[M+H]+,0.192,0.61,0.318,-24.5,2.36,RT off (-24s)
aEKJ9AS/2993,10-aminodecanoic acid b,[M+H]+,0.193,0.608,0.176,-18.4,2.97,RT off (-18s)
aEKJ9AS/12620,Met-Ala,[M+H]+,0.193,0.79,0.26,32.6,1.97,RT off (+33s)
aPUDE1U/3303,1-methyladenosine,[M+HCOO]-,0.193,0.852,0.29,-31.7,0.63,RT off (-32s)
aEKJ9AS/13416,1-methyladenosine,[M+H]+,0.194,1.0,0.23,-32.5,0.21,RT off (-32s); very few peaks (entropy=0.21)
aPUDE1U/492,pantoyl-taurine,[M-H]-,0.194,0.885,0.269,-33.9,1.68,RT off (-34s)
aPUDE1U/1556,perfluorohexane-1-sulphonic acid,[M-H]-,0.195,0.758,0.325,34.3,1.31,RT off (+34s)
aEKJ9AS/1385,delta-hexanolactone,[M+H-H2O]+,0.196,0.811,0.009,27.9,2.02,RT off (+28s); near-tie (gap=0.009)
aPUDE1U/1054,"2,4,5-trihydroxybenzoic acid",[M-H]-,0.196,0.931,0.081,-28.6,1.96,RT off (-29s)
aPUDE1U/115,dehydroascorbic acid b,[M-H]-,0.196,0.878,0.106,29.9,2.75,RT off (+30s)
aEKJ9AS/3530,"pyrazole-4-ethanol, 1,3,5-trimethyl-",[M+H-H2O]+,0.197,0.796,0.165,28.7,2.35,RT off (+29s)
aEKJ9AS/8586,trans-3-hydroxycotinine,[M+H]+,0.199,0.896,0.133,32.9,1.96,RT off (+33s)
aEKJ9AS/1077,PC 16:0_20:5,[M+H]+,0.2,0.847,0.075,-26.7,1.1,RT off (-27s)
aEKJ9AS/8691,triethyl phosphate,[M+H]+,0.2,0.792,0.041,27.1,1.65,RT off (+27s)
aPUDE1U/1613,3-amino-5-hydroxybenzoic acid,[M-H]-,0.201,0.609,0.186,-19.4,0.94,RT off (-19s)
aPUDE1U/2245,O-phosphoethanolamine,[M-H]-,0.201,0.682,0.457,-33.9,0.37,RT off (-34s); very few peaks (entropy=0.37)
aPUDE1U/649,diisobutyl sulfosuccinate,[M-H]-,0.201,0.718,0.473,-37.4,0.29,RT off (-37s); very few peaks (entropy=0.29)
aPUDE1U/3178,cortisol 21-sulfate,[M-H]-,0.203,0.748,0.41,40.0,1.16,RT off (+40s)
aPUDE1U/861,trehalose 6-phosphate,[M-H]-,0.203,0.483,0.426,8.4,1.85,weak spectral match (0.48)
aEKJ9AS/3109,hemin,[Cat]+,0.205,0.735,0.015,21.9,2.6,RT off (+22s); near-tie (gap=0.015)
aPUDE1U/1852,deoxyuridine,[M-H]-,0.206,0.944,0.275,37.7,1.59,RT off (+38s)
aEKJ9AS/12732,1-phenylethanamine,[M+H-NH3]+,0.209,0.967,0.006,-26.9,1.6,RT off (-27s); near-tie (gap=0.006)
aEKJ9AS/9522,1-ethyl-3-piperidinamine,[M+H]+,0.209,0.857,0.013,-24.1,1.26,RT off (-24s); near-tie (gap=0.013)
aPUDE1U/2195,ascorbic acid,[M-H]-,0.209,0.706,0.176,-21.9,1.02,RT off (-22s)
aEKJ9AS/9572,4-hydroxyhippuric acid,M+H,0.211,0.995,0.002,-27.2,1.01,RT off (-27s); near-tie (gap=0.002)
aPUDE1U/1529,PG 16:0_16:0,[M-H]-,0.212,0.863,0.379,44.7,0.99,RT off (+45s)
aPUDE1U/3456,isorhamnetin,[M-H]-,0.216,0.905,0.027,28.3,2.68,RT off (+28s); near-tie (gap=0.027)
