wiki_id,name,adduct,confidence,entropy_sim,sim_gap,signed_delta_rt,spectral_entropy,reason
aPUDE1U/3356,3-methylcrotonylglycine,[M-H]-,0.264,0.677,0.206,20.4,0.51,RT off (+20s)
aEKJ9AS/3111,hemin b,[Cat]+,0.264,0.745,0.033,19.1,2.58,RT off (+19s)
aEKJ9AS/6614,threonine methyl ester,[M+H]+,0.266,0.879,0.001,24.5,1.86,RT off (+24s); near-tie (gap=0.001)
aPUDE1U/3096,3-hydroxy-2-methylpropanoic acid,[M-H]-,0.268,1.0,0.003,24.0,0.13,RT off (+24s); near-tie (gap=0.003); very few peaks (entropy=0.13)
aPUDE1U/3074,ST 24:2;O3;S a,[M-H]-,0.268,0.772,0.337,29.7,0.24,RT off (+30s); very few peaks (entropy=0.24)
aEKJ9AS/10003,"7,9-dihydroxy-3-(hydroxymethyl)-1,1,6,8-tetramethyl-5-oxo-decahydro-9-cyclopropa[3,4]benzo[1,2-e]azulen-9a-yl acetate",[M+ACN+H]+,0.27,0.777,0.25,26.1,1.92,RT off (+26s)
aPUDE1U/1964,5-oxoproline,[M-H]-,0.27,0.58,0.001,-13.5,2.04,near-tie (gap=0.001); weak spectral match (0.58)
aEKJ9AS/13074,3-(1H-pyrazol-3-yl)pyridine,[M+H]+,0.27,0.715,0.023,-18.1,1.73,RT off (-18s); near-tie (gap=0.023)
aEKJ9AS/6531,N-butylbenzenesulfonamide,[M+H]+,0.271,0.934,0.354,36.8,1.9,RT off (+37s)
aPUDE1U/2788,umbelliferone sulfate,[M-H]-,0.273,0.718,0.105,19.6,0.98,RT off (+20s)
aPUDE1U/1410,ethanol sulfate,[M-H]-,0.274,1.0,0.003,24.8,0.27,RT off (+25s); near-tie (gap=0.003); very few peaks (entropy=0.27)
aEKJ9AS/12744,lupeol,[M+H]+,0.274,0.56,0.0,-12.2,1.42,near-tie (gap=0.000); weak spectral match (0.56)
aEKJ9AS/8677,"pentitol, 1,4-anhydro-3-deoxy-",[M+H-H2O]+,0.276,0.958,0.009,-23.4,0.99,RT off (-23s); near-tie (gap=0.009)
aPUDE1U/2181,bilirubin,[M-H]-,0.276,0.599,0.0,15.4,3.54,RT off (+15s); near-tie (gap=0.000); weak spectral match (0.60)
aEKJ9AS/3100,glycodeoxycholic acid ,M-2(H2O)+H,0.277,0.761,0.014,-18.5,2.88,RT off (-18s); near-tie (gap=0.014)
